,Yr,Lg,Series,Unnamed: 3_level_1,Team,W,Team,W,url
42,1982,NBA,Finals,"May 27 - Jun 8, 1982",Los Angeles Lakers (1),4,Philadelphia 76ers (3),2,https://www.basketball-reference.com/playoffs/1982-nba-finals-lakers-vs-76ers.html
43,1981,NBA,Finals,"May 5 - May 14, 1981",Boston Celtics (1),4,Houston Rockets (6),2,https://www.basketball-reference.com/playoffs/1981-nba-finals-rockets-vs-celtics.html
44,1980,NBA,Finals,"May 4 - May 16, 1980",Los Angeles Lakers (1),4,Philadelphia 76ers (3),2,https://www.basketball-reference.com/playoffs/1980-nba-finals-76ers-vs-lakers.html
45,1979,NBA,Finals,"May 20 - Jun 1, 1979",Seattle SuperSonics (1),4,Washington Bullets (1),1,https://www.basketball-reference.com/playoffs/1979-nba-finals-supersonics-vs-bullets.html
46,1978,NBA,Finals,"May 21 - Jun 7, 1978",Washington Bullets (3),4,Seattle SuperSonics (4),3,https://www.basketball-reference.com/playoffs/1978-nba-finals-bullets-vs-supersonics.html
47,1977,NBA,Finals,"May 22 - Jun 5, 1977",Portland Trail Blazers (3),4,Philadelphia 76ers (1),2,https://www.basketball-reference.com/playoffs/1977-nba-finals-trail-blazers-vs-76ers.html
48,1976,NBA,Finals,"May 23 - Jun 6, 1976",Boston Celtics (1),4,Phoenix Suns (3),2,https://www.basketball-reference.com/playoffs/1976-nba-finals-suns-vs-celtics.html
49,1975,NBA,Finals,"May 18 - May 25, 1975",Golden State Warriors (1),4,Washington Bullets (2),0,https://www.basketball-reference.com/playoffs/1975-nba-finals-warriors-vs-bullets.html
50,1974,NBA,Finals,"Apr 28 - May 12, 1974",Boston Celtics (1),4,Milwaukee Bucks (1),3,https://www.basketball-reference.com/playoffs/1974-nba-finals-celtics-vs-bucks.html
51,1973,NBA,Finals,"May 1 - May 10, 1973",New York Knicks (2),4,Los Angeles Lakers (2),1,https://www.basketball-reference.com/playoffs/1973-nba-finals-knicks-vs-lakers.html
52,1972,NBA,Finals,"Apr 26 - May 7, 1972",Los Angeles Lakers (1),4,New York Knicks (2),1,https://www.basketball-reference.com/playoffs/1972-nba-finals-knicks-vs-lakers.html
53,1971,NBA,Finals,"Apr 21 - Apr 30, 1971",Milwaukee Bucks (1),4,Baltimore Bullets (1),0,https://www.basketball-reference.com/playoffs/1971-nba-finals-bullets-vs-bucks.html
54,1970,NBA,Finals,"Apr 24 - May 8, 1970",New York Knicks (1),4,Los Angeles Lakers (2),3,https://www.basketball-reference.com/playoffs/1970-nba-finals-lakers-vs-knicks.html
55,1969,NBA,Finals,"Apr 23 - May 5, 1969",Boston Celtics (4),4,Los Angeles Lakers (1),3,https://www.basketball-reference.com/playoffs/1969-nba-finals-celtics-vs-lakers.html
