,Year,Player,mvp,G!,MP!,FG!,3P!,FT!,ORB!,DRB!,TRB!,AST!,STL!,BLK!,TOV!,PF!,PTS!,FG%!,3P%!,FT%!
173,2003,Malik Rose,False,1,7,5,5,6,3,7,5,7,7,4,5,3,6,4,5,1
174,2003,Speedy Claxton,False,1,8,7,5,5,8,8,8,5,5,3,2,2,7,2,5,4
175,2003,Bruce Bowen,False,1,4,8,3,8,6,5,6,6,5,6,2,3,8,8,3,1
176,2002,Shaquille O'Neal,True,1,2,1,7,1,1,1,1,3,4,1,7,3,1,1,7,6
177,2002,Kobe Bryant,False,1,1,2,2,2,5,3,4,1,2,3,8,6,2,4,3,5
178,2002,Derek Fisher,False,1,5,3,1,4,8,6,6,3,5,8,5,5,3,3,1,7
179,2002,Rick Fox,False,1,4,4,3,3,2,4,3,5,2,4,6,8,4,2,4,3
180,2002,Robert Horry,False,1,3,5,3,5,2,2,2,2,1,2,4,7,5,5,4,3
181,2002,Devean George,False,1,6,6,5,6,4,5,5,7,5,4,1,3,6,6,2,1
182,2002,Brian Shaw,False,1,7,7,6,8,5,8,8,6,5,4,1,1,7,7,6,8
183,2002,Samaki Walker,False,1,8,8,7,7,5,7,7,7,8,7,3,2,8,8,7,1
184,2001,Shaquille O'Neal,True,1,2,1,7,1,1,1,1,2,7,1,8,7,1,2,7,7
185,2001,Kobe Bryant,False,1,1,2,5,2,4,2,2,1,2,2,7,5,2,6,5,3
186,2001,Derek Fisher,False,1,4,3,1,6,7,7,7,5,1,6,4,7,3,5,3,4
187,2001,Rick Fox,False,1,3,4,3,3,5,3,5,3,4,5,6,4,3,4,4,2
188,2001,Robert Horry,False,1,5,5,2,4,3,5,4,7,5,2,1,6,5,3,2,1
189,2001,Horace Grant,False,1,6,6,7,4,2,4,3,8,7,2,1,2,6,8,7,5
190,2001,Tyronn Lue,False,1,8,7,4,8,7,8,8,6,2,6,3,1,7,1,1,8
191,2001,Brian Shaw,False,1,7,8,5,7,5,6,6,4,5,8,5,3,7,7,6,6
192,2000,Shaquille O'Neal,True,1,1,1,7,1,1,1,1,5,2,1,8,6,1,1,7,8
193,2000,Kobe Bryant,False,8,5,2,6,4,4,3,3,3,3,2,4,5,2,8,5,1
194,2000,Glen Rice,False,1,2,4,1,2,8,5,6,6,3,4,5,3,3,7,1,7
195,2000,Ron Harper,False,1,3,3,3,6,5,4,4,1,1,4,7,3,4,5,4,6
196,2000,Robert Horry,False,1,4,4,5,5,3,2,2,4,3,3,5,8,5,4,5,5
197,2000,Rick Fox,False,1,7,8,4,2,6,7,7,7,7,6,3,6,6,1,2,2
198,2000,Derek Fisher,False,1,6,6,2,8,7,8,8,2,3,6,2,2,7,6,3,4
199,2000,A.C. Green,False,1,8,6,7,7,2,6,4,8,8,6,1,1,8,3,7,3
200,1999,Tim Duncan,True,1,1,1,6,1,1,1,1,4,2,2,7,4,1,2,6,2
201,1999,David Robinson,False,1,3,2,6,2,1,2,2,4,2,1,4,8,2,5,6,3
202,1999,Mario Elie,False,1,5,4,3,3,4,3,3,3,1,4,4,6,3,4,4,1
203,1999,Avery Johnson,False,1,2,3,6,5,4,4,5,1,6,4,8,3,4,3,6,5
204,1999,Sean Elliott,False,1,4,5,2,4,3,4,4,2,5,3,3,6,5,7,5,4
205,1999,Jaren Jackson,False,1,6,6,1,6,7,6,6,6,2,4,6,5,6,8,3,6
206,1999,Antonio Daniels,False,8,8,7,4,6,8,8,8,7,7,4,1,1,7,1,1,6
207,1999,Steve Kerr,False,1,7,7,5,6,4,7,7,8,8,4,1,1,8,6,2,6
208,1998,Michael Jordan,True,1,1,1,4,1,5,6,6,5,1,3,5,3,1,4,2,3
209,1998,Scottie Pippen,False,1,2,3,2,2,2,2,2,1,2,1,8,6,2,5,5,2
210,1998,Toni KukoÄ,False,1,3,2,1,3,4,4,4,3,4,3,5,5,3,1,3,7
211,1998,Ron Harper,False,1,5,4,5,5,6,2,5,2,3,3,4,3,4,7,6,8
212,1998,Luc Longley,False,1,6,4,7,6,3,4,3,6,7,1,7,8,5,3,7,4
213,1998,Steve Kerr,False,1,7,7,3,7,7,8,8,4,8,8,1,2,6,8,1,1
214,1998,Scott Burrell,False,1,8,6,5,8,8,6,7,8,4,7,1,1,7,6,4,5
215,1998,Dennis Rodman,False,1,4,8,7,3,1,1,1,7,4,6,3,7,8,2,7,5
216,1997,Michael Jordan,True,1,1,1,3,1,4,3,3,1,2,3,7,3,1,3,3,4
217,1997,Scottie Pippen,False,1,1,2,1,2,1,1,1,2,1,1,8,6,2,4,2,3
218,1997,Toni KukoÄ,False,1,5,5,2,3,7,5,7,3,8,4,3,1,3,5,1,2
219,1997,Bison Dele,False,1,7,4,7,4,6,6,6,8,3,6,3,7,4,2,7,6
220,1997,Luc Longley,False,1,6,3,7,8,2,7,5,6,5,4,6,4,4,1,7,8
221,1997,Ron Harper,False,1,4,6,5,5,5,4,4,4,3,2,1,4,6,7,4,5
222,1997,Steve Kerr,False,1,8,7,4,5,8,8,8,7,5,6,1,2,7,6,5,1
223,1997,Dennis Rodman,False,1,3,8,6,7,3,2,2,5,5,6,5,8,8,8,6,7
224,1996,Michael Jordan,True,1,1,1,3,1,4,3,3,2,2,5,8,5,1,5,2,3
225,1996,Scottie Pippen,False,1,2,2,2,2,2,2,2,1,1,2,4,6,2,7,5,6
226,1996,Toni KukoÄ,False,1,4,3,1,6,3,4,4,3,3,3,4,4,3,4,3,4
227,1996,Luc Longley,False,1,5,4,7,3,5,5,5,5,7,1,7,7,4,1,7,5
228,1996,Dennis Rodman,False,1,3,5,7,4,1,1,1,4,3,5,4,8,5,3,7,7
229,1996,Ron Harper,False,1,6,6,4,4,6,6,6,6,5,3,1,1,6,6,4,1
230,1996,Steve Kerr,False,1,7,7,4,7,7,7,7,7,8,7,3,1,7,8,6,2
231,1996,Randy Brown,False,1,8,8,6,8,8,8,8,7,5,7,1,3,8,2,1,8
232,1995,Hakeem Olajuwon,True,1,2,1,6,3,2,1,1,2,2,2,8,8,1,3,1,6
233,1995,Clyde Drexler,False,1,3,2,5,1,1,3,3,1,5,4,5,6,2,5,6,5
234,1995,Robert Horry,False,1,1,4,1,4,3,2,2,4,1,1,4,3,3,6,5,7
235,1995,Mario Elie,False,1,4,3,2,5,4,4,4,5,2,5,7,3,4,1,2,3
236,1995,Sam Cassell,False,1,6,5,4,2,7,6,6,6,4,5,5,3,5,7,3,4
237,1995,Kenny Smith,False,1,5,6,2,8,6,8,6,3,6,5,3,2,6,8,4,8
238,1995,Chucky Brown,False,1,8,7,7,6,5,5,5,7,7,3,1,1,7,4,7,1
239,1995,Charles Jones,False,1,7,8,7,6,7,6,6,7,7,5,1,7,8,2,7,1
240,1994,Hakeem Olajuwon,True,1,1,1,6,1,2,2,2,2,1,1,8,8,1,3,1,3
241,1994,Vernon Maxwell,False,1,4,2,2,3,6,4,5,5,6,6,7,3,2,6,6,6
242,1994,Robert Horry,False,1,3,4,1,4,2,3,3,1,2,2,4,7,3,7,5,7
243,1994,Sam Cassell,False,1,6,6,3,2,5,6,6,5,2,3,6,5,4,4,2,2
244,1994,Otis Thorpe,False,1,2,3,7,5,1,1,1,3,4,6,3,6,5,2,7,8
245,1994,Carl Herrera,False,1,7,5,7,6,4,5,4,8,7,4,2,4,6,1,7,5
246,1994,Kenny Smith,False,1,5,7,4,6,8,7,7,4,5,6,5,2,7,5,4,1
247,1994,Mario Elie,False,1,8,8,5,8,6,8,8,7,8,4,1,1,8,8,3,4
248,1993,Michael Jordan,True,1,1,1,1,1,3,3,3,2,2,4,7,6,1,4,4,2
249,1993,Scottie Pippen,False,1,2,2,5,2,2,1,2,1,1,3,8,4,2,6,5,4
250,1993,B.J. Armstrong,False,1,3,3,1,4,7,6,6,3,4,5,4,7,3,4,3,1
251,1993,Horace Grant,False,1,4,4,5,3,1,2,1,4,3,1,4,8,4,3,5,3
252,1993,John Paxson,False,1,7,5,3,7,6,7,7,7,5,5,1,2,5,2,1,7
253,1993,Scott Williams,False,1,5,5,5,5,4,4,4,5,5,1,6,4,6,7,5,6
254,1993,Bill Cartwright,False,1,6,7,5,5,5,5,5,5,5,5,3,3,7,8,5,5
255,1993,Trent Tucker,False,1,8,8,4,7,8,8,8,8,8,8,1,1,8,1,2,7
256,1992,Michael Jordan,True,1,1,1,1,1,5,4,4,2,1,4,8,5,1,3,1,1
257,1992,Scottie Pippen,False,1,2,2,3,2,1,2,1,1,2,3,7,5,2,6,4,2
258,1992,John Paxson,False,1,4,3,2,8,8,7,7,4,3,7,4,3,3,4,2,4
259,1992,Horace Grant,False,1,3,4,5,3,3,1,2,3,4,1,3,4,4,1,5,6
260,1992,Bill Cartwright,False,1,5,5,5,5,3,5,5,6,5,5,6,5,5,5,5,7
261,1992,B.J. Armstrong,False,1,7,6,4,7,7,8,7,5,6,7,5,2,6,8,3,5
262,1992,Scott Williams,False,1,6,7,5,4,2,3,3,7,7,2,2,5,7,2,5,3
263,1992,Cliff Levingston,False,1,8,8,5,6,5,6,6,8,7,5,1,1,8,7,5,7
264,1991,Michael Jordan,True,1,1,1,1,1,3,2,3,1,1,1,7,7,1,4,1,3
265,1991,Scottie Pippen,False,1,2,2,2,2,1,1,1,2,2,2,8,8,2,6,3,2
266,1991,Horace Grant,False,1,3,3,5,3,2,2,2,5,3,4,6,3,3,2,5,4
267,1991,John Paxson,False,1,5,3,2,5,6,6,6,3,4,6,3,3,4,1,2,1
268,1991,Bill Cartwright,False,1,4,5,5,4,4,4,4,4,6,4,5,6,5,7,5,5
269,1991,Craig Hodges,False,1,7,6,2,6,8,7,7,8,8,6,3,2,6,8,4,6
270,1991,Cliff Levingston,False,1,6,7,5,6,4,5,5,7,4,2,1,5,7,3,5,6
271,1991,B.J. Armstrong,False,1,8,8,5,6,7,8,7,6,7,6,1,1,8,5,5,6
